ImageName,VietnameseName,Price
002.jpeg,RAU MUỐNG XÀO TỎI,29000
002.jpeg,MỒNG TƠI XÀO TỎI,29000
002.jpeg,CẢI XÀO TỎI,29000
002.jpeg,ĐẬU BẮP XÀO TỎI,29000
002.jpeg,KHOAI TÂY CHIÊN,29000
002.jpeg,DA ẾCH CHIÊN MẮM,29000
002.jpeg,DA ẾCH CHIÊN GIÒN,29000
002.jpeg,DA ẾCH RANG MUỐI,29000
002.jpeg,ĐẬU KHUÔN CHIÊN,29000
002.jpeg,SỨA CHẤM RUỐC,35000
002.jpeg,BẮP NON XÀO HÀNH ,35000
002.jpeg,BẮP NON XÀO TÉP,39000
002.jpeg,GHẸ SỮA CHIÊN MẮM,55000
002.jpeg,GHẸ SỮA RANG MUỐI,55000
002.jpeg,CHẢ RAM TÔM ĐẤT,59000
002.jpeg,GỎI TAI HEO,55000
002.jpeg,GỎI SỨA,55000
002.jpeg,GỎI HẢI SẢN,55000
002.jpeg,CHÂN GÀ RÚT XƯƠNG LẮC ỚT TẮC,65000
002.jpeg,GỎI BÒ BÓP THẤU,65000
002.jpeg,GỎI BÒ TÁI CHANH,65000
002.jpeg,GỎI BẠCH TUỘC,65000
002.jpeg,GỎI TÔM CÔ BA,75000
003.jpeg,XÚC XÍCH ĐỨC,10000
003.jpeg,ĐẬU BẮP NƯỚNG ,25000
003.jpeg,CÀ TÍM NƯỚNG,25000
003.jpeg,CÁ BÒ TÔM VIÊN NƯỚNG ,25000
003.jpeg,BÁNH BAO NƯỚNG ,35000
003.jpeg,LÒNG HEO NƯỚNG,35000
003.jpeg,MỀ GÀ NƯỚNG,35000
003.jpeg,MỰC NƯỚNG,35000
003.jpeg,TÔM NƯỚNG,35000
003.jpeg,BẠCH TUỘC NƯỚNG,35000
003.jpeg,SƯỜNG NƯỚNG BBQ,35000
003.jpeg,BA CHỈ HEO NƯỚNG,35000
003.jpeg,ẾCH NƯỚNG,35000
003.jpeg,BA CHỈ BÒ MỸ NƯỚNG,35000
003.jpeg,BA CHỈ BÒ CUỘN NẤM,40000
003.jpeg,BA CHỈ BÒ CUỘN PHÔ MAI,40000
003.jpeg,BÒ NƯỚNG SA TẾ,40000
003.jpeg,BÒ NƯỚNG LÁ LỐT,40000
003.jpeg,BẸ SỮA NƯỚNG,45000
003.jpeg,HÀU PHÔ MAI,12000
