ImageName,VietnameseName,Price
001.jpeg,COMBO 1,169000
001.jpeg,COMBO 2,169000
001.jpeg,COMBO 3,169000
001.jpeg,RƯỢU SOJU,NOT GIVEN
001.jpeg,RƯỢU VODKA,NOT GIVEN
001.jpeg,TIGER LON,NOT GIVEN
001.jpeg,TIGER CHAI,NOT GIVEN
001.jpeg,TIGER BẠC CHAI,NOT GIVEN
001.jpeg,TIGER BẠC LON,NOT GIVEN
001.jpeg,COCA,NOT GIVEN
001.jpeg,SPRITE,NOT GIVEN
001.jpeg,SUỐI,NOT GIVEN
001.jpeg,BÒ HÚC,NOT GIVEN
001.jpeg,BIA QUY NHƠN,NOT GIVEN
001.jpeg,BIA BIVINA,NOT GIVEN
001.jpeg,STRONG BOW,NOT GIVEN
002.jpeg,RAU MUỐNG XÀO TỎI,29000
002.jpeg,MỒNG TƠI XÀO TỎI,29000
002.jpeg,CẢI XÀO TỎI,29000
002.jpeg,ĐẬU BẮP XÀO TỎI,29000
002.jpeg,KHOAI TÂY CHIÊN,29000
002.jpeg,DA ẾCH CHIÊN MẮM,29000
002.jpeg,DA ẾCH CHIÊN GIÒN,29000
002.jpeg,DA ẾCH RANG MUỐI,29000
002.jpeg,ĐẬU KHUÔN CHIÊN,29000
002.jpeg,SỨA CHẤM RUỐC,35000
002.jpeg,BẮP NON XÀO HÀNH ,35000
002.jpeg,BẮP NON XÀO TÉP,39000
002.jpeg,GHẸ SỮA CHIÊN MẮM,55000
002.jpeg,GHẸ SỮA RANG MUỐI,55000
002.jpeg,CHẢ RAM TÔM ĐẤT,59000
002.jpeg,GỎI TAI HEO,55000
002.jpeg,GỎI SỨA,55000
002.jpeg,GỎI HẢI SẢN,55000
002.jpeg,CHÂN GÀ RÚT XƯƠNG LẮC ỚT TẮC,65000
002.jpeg,GỎI BÒ BÓP THẤU,65000
002.jpeg,GỎI BÒ TÁI CHANH,65000
002.jpeg,GỎI BẠCH TUỘC,65000
002.jpeg,GỎI TÔM CÔ BA,75000
003.jpeg,XÚC XÍCH ĐỨC,10000
003.jpeg,ĐẬU BẮP NƯỚNG ,25000
003.jpeg,CÀ TÍM NƯỚNG,25000
003.jpeg,CÁ BÒ TÔM VIÊN NƯỚNG ,25000
003.jpeg,BÁNH BAO NƯỚNG ,35000
003.jpeg,LÒNG HEO NƯỚNG,35000
003.jpeg,MỀ GÀ NƯỚNG,35000
003.jpeg,MỰC NƯỚNG,35000
003.jpeg,TÔM NƯỚNG,35000
003.jpeg,BẠCH TUỘC NƯỚNG,35000
003.jpeg,SƯỜNG NƯỚNG BBQ,35000
003.jpeg,BA CHỈ HEO NƯỚNG,35000
003.jpeg,ẾCH NƯỚNG,35000
003.jpeg,BA CHỈ BÒ MỸ NƯỚNG,35000
003.jpeg,BA CHỈ BÒ CUỘN NẤM,40000
003.jpeg,BA CHỈ BÒ CUỘN PHÔ MAI,40000
003.jpeg,BÒ NƯỚNG SA TẾ,40000
003.jpeg,BÒ NƯỚNG LÁ LỐT,40000
003.jpeg,BẸ SỮA NƯỚNG,45000
003.jpeg,HÀU PHÔ MAI,12000
003.jpeg,HÀU NƯỚNG MỠ HÀNH,55000
003.jpeg,XÌA NƯỚNG,55000
003.jpeg,SÒ ĐIỆP NƯỚNG,55000
003.jpeg,ỐC BƯƠU NƯỚNG TIÊU XANH,59000
003.jpeg,BA CHỈ NƯỚNG,65000
003.jpeg,BẸ SỮA NƯỚNG,69000
003.jpeg,TÔM NƯỚNG,69000
003.jpeg,BẠCH TUỘC NƯỚNG,69000
003.jpeg,BÒ NƯỚNG CAY,69000
003.jpeg,BÒ NƯỚNG LÁ LỐT,69000
003.jpeg,BÒ CUỘN NẤM KIM CHÂM,79000
004.jpeg,LÒNG CHIÊN MẮM,49000
004.jpeg,LÒNG XÀO NGHỆ,49000
004.jpeg,XÌA HẤP SẢ,55000
004.jpeg,XÌA HẤP THÁI,55000
004.jpeg,ẾCH XÀO SẢ ỚT,55000
004.jpeg,ẾCH RANG LÁ CHANH,59000
004.jpeg,ẾCH RANG MUỐI,59000
004.jpeg,ẾCH CHIÊN MẮM,59000
004.jpeg,ẾCH CHIÊN BƠ,59000
004.jpeg,SỤN RANG MUỐI ,59000
004.jpeg,SỤN CHIÊN MẮM,59000
004.jpeg,CÁNH GÀ RANG MUỐI,59000
004.jpeg,CÁNH GÀ CHIÊN MẮM,59000
004.jpeg,CÁNH GÀ CHIÊN BƠ,59000
004.jpeg,ỐC BƯƠU HẤP SẢ,59000
004.jpeg,ỐC BƯƠU XÀO SẢ,59000
004.jpeg,ỐC BƯƠU UM TIÊU,59000
004.jpeg,ỐC MÓNG TAY XÀO SẢ,59000
004.jpeg,ỐC MÓNG TAY XÀO BƠ TỎI,59000
004.jpeg,ỐC MÓNG TAY XÀO RAU MUỐNG,59000
004.jpeg,LƯỠI VỊT RANG MUỐI,69000
004.jpeg,LƯỠI VỊT CHIÊN MẮM,69000
004.jpeg,CÀ NA RANG MUỐI,69000
004.jpeg,CÀ NA HẤP SẢ,69000
004.jpeg,CÀ NA XÀO SẢ,69000
004.jpeg,CÀ NA XÀO BƠ TỎI,69000
004.jpeg,CHÂN GÀ SỐT CÔ BA,69000
004.jpeg,CHÂN GÀ RANG MUỐI,69000
